nohup: ignoring input
ARCANA-ECOSYSTEM: Miner Starting...
Block Mined: 9522e91723fff9a6
Block Mined: 32dc196f0b7558a0
Block Mined: bbb5e8ea1d7057fd
Block Mined: c3935cb1134572cb
Block Mined: 24400831f5460d33
Block Mined: 6edddd23ff79d149
Block Mined: 49e74b72a2db9cca
Block Mined: 4dcf40de9fd324fe
Block Mined: e8a1121ff709ec09
Block Mined: c2599ce3c4d61a43
Block Mined: 476821f1e5949573
Block Mined: 8d4d3ef39c8ac1f0
Block Mined: 2fb7819fd8dc6026
Block Mined: 7671b96f961830e1
Block Mined: c5bce38d8817c9f1
Block Mined: 15b8866702cf1c4a
Block Mined: f56d850064236f96
Block Mined: fb5c3cc90fa35968
Block Mined: ea905228d85b0c94
Block Mined: ea3b0e30c28d5d8c
Block Mined: 12e69e70b1f4e982
Block Mined: c68a8934b136b65c
Block Mined: e9d7de8cac3750fa
Block Mined: da1a5031a692ea99
Block Mined: b7f98c5efd3323ff
Block Mined: b879a04ac5186b43
Block Mined: 1e722a878f043777
Block Mined: 394115222e9c482e
Block Mined: f24c1beeb6114fbe
Block Mined: a22b4ab088024d89
Block Mined: 6ff2988f51dc6d8e
Block Mined: 2285f0b3b1e70bf8
Block Mined: 236d263b001145b7
Block Mined: bad11a3e0ae19b65
Block Mined: 99d2fd8b0140a3c2
Block Mined: ee0f7c457adfb810
Block Mined: 69bf8333b035a898
Block Mined: 2faee70a2efe0603
Block Mined: e5ce6c909a8e06bc
Block Mined: 12731352573f70c9
Block Mined: f6de38933e894453
Block Mined: 5dc223db010c11e0
Block Mined: 450ed486bce591b6
Block Mined: 58e42813e834de24
Block Mined: 4b6ee688665cc681
Block Mined: e72b86d0d8db0040
Block Mined: f42386a361c19cb4
Block Mined: fbaee03b4114d352
Block Mined: dd2da8e7955f9aab
Block Mined: 2999aed8b93f63c2
Block Mined: 6b4c048d7b0fcadc
Block Mined: 7d0161e6bd022e43
Block Mined: 50417cbfe0bbc4cb
Block Mined: 88faf4f536e4ceb7
Block Mined: 6a79c0e6453f5cea
Block Mined: 3fff8a0bb4431246
Block Mined: fc9684f63baa4b38
Block Mined: 3e77ce61e1c484e3
Block Mined: 250f4207f36d50b2
Block Mined: c71157000b159a6a
Block Mined: 5d705758cfa69b4c
Block Mined: cedbd0c4b1303146
Block Mined: 14a7a0e911d6effb
Block Mined: 401c5bac6105145b
Block Mined: df7be04319d37f95
Block Mined: 223ff74325efb4ce
Block Mined: 8471745bf63e40ad
Block Mined: 61fa4ee3935e2809
Block Mined: b3af8a54da5d7ea8
Block Mined: 4f7a01c4fd53168b
Block Mined: b7691091dc45a79a
Block Mined: a8529ea733baf5c7
Block Mined: a3c358f4b54d8838
Block Mined: 823826c02cdbd34e
Block Mined: e6a9ce3fd7f404ef
Block Mined: 715f9c2dd4fc93d0
Block Mined: 876e59bee8a36200
Block Mined: 288f5ed84469111b
Block Mined: 4011a417af27bbf2
Block Mined: 0214308fd85ff308
Block Mined: a74933b57230af4b
Block Mined: 330fc0c7b75c60a0
Block Mined: 639441a1f0adb534
Block Mined: d5b3661a2ea247f4
Block Mined: d772c7240bc89a88
Block Mined: 09b29b7c3b2dce0c
Block Mined: 74df217c3b5efde6
Block Mined: 713eda301db8ee37
Block Mined: d68781794972bcfc
Block Mined: 8140fdd3f4a61870
Block Mined: d5237d76b9b09769
Block Mined: 053866756d53365e
Block Mined: 273aa226477a4543
Block Mined: c2e8fd633650249d
Block Mined: c08a98bcbc059a98
Block Mined: 2c1b2be213cac7a0
Block Mined: 11921f643faf0b10
Block Mined: 666e107788782439
Block Mined: c0c0b55bf5483a6e
Block Mined: db3cb9f2bef15d4e
Block Mined: 602c81d142f18f69
Block Mined: 0b9629c89ea52a9f
Block Mined: a68a2e7c5c9ab1b1
Block Mined: b14e8a8a2bca2ea0
Block Mined: 154d9f01b628dd2f
Block Mined: 1a469b045b992b18
Block Mined: e6e2efedc13219b0
Block Mined: b8d368ee3c2498a6
Block Mined: d756cef43ac6ce6d
Block Mined: 109dc338f9b31dcb
Block Mined: b89319d869adc861
Block Mined: e1f3398058113964
Block Mined: 36ac02745099144b
Block Mined: 51f8c6631b848239
Block Mined: 6bfa21aea310a98d
Block Mined: 6bb2fc1394b5d23f
Block Mined: 3ceeac6af8f71f47
Block Mined: def5bd5ac4f058f9
Block Mined: 5858946be8837e13
Block Mined: 41eaf0c68bbd428f
Block Mined: d59df8df3d9f794a
Block Mined: 7aec1e674c938e6b
Block Mined: c9caa62d942f990d
Block Mined: 7259d856ff385247
Block Mined: e5794434d0c67cbc
Block Mined: 2c8b9bbde4e3ea28
Block Mined: 868c4e9d192cf38f
Block Mined: 13a8323740386758
Block Mined: af6c9af485fb6cfb
Block Mined: a6d3b01c2caa999d
Block Mined: 399e70f6132e60e8
Block Mined: d7a6c645a3cc1c13
Block Mined: 6c3b1e76c6d19bae
Block Mined: ad1c8dec83be3ac2
Block Mined: 0f91a10033af51f4
Block Mined: 7bb09931e5d88852
Block Mined: fed2b4438689df06
Block Mined: 7012d0f096ce437a
Block Mined: a8aebbac156eab9d
Block Mined: 98520a95035ee1dd
Block Mined: cde42e58fef0bc11
Block Mined: 97ba2c66231d443e
Block Mined: 0f32a99ec5696301
Block Mined: fa7271f3f3938008
Block Mined: b8776d3fe28bc0db
Block Mined: 058742e0cbfe59dd
Block Mined: 2e4787cf8a2bb786
Block Mined: 14f7c95e6112b3d5
Block Mined: ae1388bf9b58519e
Block Mined: 2cf55cd79a4b6d09
Block Mined: b2c70dd63c7c4240
Block Mined: 1d81e1d7ef81cd96
Block Mined: f8b63e42ffd619c4
Block Mined: 56288c0f58be21da
Block Mined: acb59bda12de2426
Block Mined: b638d456ef1ca515
Block Mined: 34895d1191191ef0
Block Mined: 196a83adcb45b677
Block Mined: fba2debdb21e0810
Block Mined: 8c6c5d931c740f6e
Block Mined: 3a0f50be7049c7c0
Block Mined: d3d9c7558b30b0ad
Block Mined: e3b745da718bc980
Block Mined: 5a2bba9b5a9312e3
Block Mined: 90287cb4765fab29
Block Mined: 72619700479faba2
Block Mined: fc2d4883e1d6d08e
Block Mined: e6348c6765f0359e
Block Mined: aef28825a39ef359
Block Mined: 3fbcdf2e31bf0519
Block Mined: 6d5897bb9d4886d8
Block Mined: 7449a754b7d0c876
Block Mined: b0fe01fc60f23b9f
Block Mined: c5c4b4af36cb5361
Block Mined: 6a75bcdf4ce7b360
Block Mined: 80d1a68a3017118a
Block Mined: c5738b3f03806f51
Block Mined: e64897a45be6d191
Block Mined: 866016f53924545d
Block Mined: a0b406f22970b86d
Block Mined: 885a36296593a7cd
Block Mined: 81c7922674051cb0
Block Mined: 6cc3b7952d2cf935
Block Mined: bb8e35352c3c8780
Block Mined: 0f59977c0bdff704
Block Mined: 7b42e57a34e038ff
Block Mined: b3e7d8e4d8969180
Block Mined: 3eed2b15befc6d20
Block Mined: 56db1b54ca3a7b7f
Block Mined: 6c2997c77ecdfd10
Block Mined: 2f8d90f1b7864ff0
Block Mined: 544c4b8c480ce0bb
Block Mined: 1a61276bdf21755d
Block Mined: 1bc02ec0c1274c0a
Block Mined: d2974a969440405b
Block Mined: 92cacb197d7ce3c5
Block Mined: 1a71d78eb6c8c786
Block Mined: 6d116c9b587ef47f
Block Mined: 28d800266a9cfc9f
Block Mined: e4fbe90e6f84704b
Block Mined: 169e1503868cccea
Block Mined: 491956321bc76561
Block Mined: 0a1cd721a69dd770
Block Mined: c75cc9e1cd9a8adf
Block Mined: d8a5fbcb2018512f
Block Mined: 4122b621530460d8
Block Mined: a57353f93094aa00
Block Mined: 4b5524927ca099b7
Block Mined: 501df2215a2c6769
Block Mined: d91b64e7b075525e
Block Mined: 5f554a5f7cd606d9
Block Mined: d55e427a3e8f55cc
Block Mined: 138b62c32586baa5
Block Mined: 5ac1e32a1709a92d
Block Mined: fa063f7717b639e8
Block Mined: 25dffaf11ec8375b
Block Mined: 4a713ba9da8b6ee6
Block Mined: 11c4abfff9ffe699
Block Mined: 72859423ff276cf1
Block Mined: ee2ce9e4727f65e1
Block Mined: f6628b6ed77efaac
Block Mined: 3c3df1d6ce7f7f23
Block Mined: 6764b9f8d05ee6cc
Block Mined: a1700453cd484ba1
Block Mined: 840363d54888833d
Block Mined: dd22a19e11d3614b
Block Mined: a5cdf206d159a108
Block Mined: f54414269fccf81d
Block Mined: 936e506048e108a4
Block Mined: 62a87ac38726e716
Block Mined: 78a9bb43734a5b5b
Block Mined: f32429734ccfefb2
Block Mined: 256a249aa4bf2af2
Block Mined: 1053a74d5a79717e
Block Mined: ff97ef0dcbf491d8
Block Mined: 8db47dc050cba12d
Block Mined: a212a9f2952dfdbe
Block Mined: 696edcf5abab46c4
Block Mined: d47d883ed749fce1
Block Mined: 31840da70ec6d131
Block Mined: 978c0908aed2a621
Block Mined: b69b1da195546d1d
Block Mined: 796aa6240cd7578b
Block Mined: 0e21160e8cd97f29
Block Mined: 27dec424107ff58c
Block Mined: 13b09c619919318f
Block Mined: 0ecd5f888f7dfdf9
Block Mined: 5c6a2a8a6ce52b0a
Block Mined: baf676521fa67025
Block Mined: d08d1c5a36b8d1e0
Block Mined: 2109a5b9a3a12448
Block Mined: f9215706aa81212e
Block Mined: c11c6bf53ac5d064
Block Mined: d2a86031fd3be549
Block Mined: a983bd66d4b1a5e9
Block Mined: fc850c8d659e840d
Block Mined: 92bf5713b11bef58
Block Mined: bbe42bb6fecebf39
Block Mined: e06c4351c940b579
Block Mined: d4752a7d9e7fcf2c
Block Mined: 6d4e17c8a5c85760
Block Mined: 8c76ffd4f07a29f8
Block Mined: 98a90d816e1e84b7
Block Mined: bb5c7a6272cf1f78
Block Mined: 53271971c7ebe850
Block Mined: fd6fbcc600233903
Block Mined: f37f72ab0028038b
Block Mined: 434371f0cc98c1dd
Block Mined: 994a509e9e015068
Block Mined: 4b8d5cb0c640d74f
Block Mined: 7131dbecc082a190
Block Mined: 32b39f47c90cf5f6
Block Mined: 8181971c374d7be8
Block Mined: 5b4b60f1ebe2e879
Block Mined: cd13aa0fbcb27351
Block Mined: c039416635c8dc5b
Block Mined: cadb23ef773fd2d2
Block Mined: 8ecb0960cd0bb7df
Block Mined: 796c809ab009d0b2
Block Mined: 376a6952858b065d
Block Mined: b03b909be3b759d4
Block Mined: c22a51e2bfb16700
Block Mined: bf2a1b22ca89251f
Block Mined: 6556450152bd45ff
Block Mined: ec032a0dc35e0dbd
Block Mined: c00ce063e8699ba7
Block Mined: e87c62bb81509373
